NETWORK_ID,ROUTE_NOS,lng,lat
6896,"26,55,71S,MT4,N2,N3",,
6902,"21AT,26AT,52,73",,
6905,"26,55,71S,MT4,N2,N3",,
6906,"26,MT4,N2,N3",,
6900,"55,71S",,
6907,"30X,37,H3,MT2,MT4,MT5,N5,N6",,
6913,"11,30,36,39",,
6914,"11,30,36,37,39,H3,MT4,MT5,N5,N6",,
6917,"52,55,71,71S,73",,
6922,"101XS,17S,25AX,2AS,3AX,3BX,73,AP1,N1A",,
6932,"30,30X,34,51,51A,56,59,AP1,MT3",,
6934,"10,102,10B,17,17S,1A,25AX,28B,29,2AS,3A,3AX,3BX,56,73,AP1,N1B",,
6935,"10,102,10B,17,17S,1A,25AX,28B,29,2AS,3A,3AX,3BX,73,AP1,N1B",,
6929,"56,AP1",,
6950,"30,30X,34,51,51A,56,59,AP1,MT3",,
6944,"56,AP1",,
6953,"102,30,34,MT3",,
6954,"102,25AX,30,34,3AX,3BX,AP1,MT3",,
6956,"103,30,30X,3A,N1B",,
6951,"25AX,3AX,3BX,AP1",,
6964,"17,28C,6A,6B",,
6958,H1,,
6972,"25AX,MT1,MT2",,
6969,"39,50,50B,52,6B,71,73,MT5,N2,N3,N5",,
6975,"12,23,29,39,3A,3AX,50,50B,60,65,7,8,MT1,MT2,MT5",,
6983,"102,10B,17,17S,18,18A,18B,2A,30,34,MT3",,
6986,"27,MT3",,
6987,"27,MT3",,
6991,"21AT,25B,25BS,26A,26AT,30X,35,51A,701X,MT1",,
6992,"21AT,25B,25BS,26A,26AT,30X,35,51A,701X,MT1,MT3",,
6994,"25B,25BS,26A,26AT,35,51A,MT1",,
6995,"25B,25BS,26A,26AT,35,51A,MT1,MT3",,
7007,MT3,,
7004,"2AS,73",,
7011,"17,17S,3A,3AX,AP1",,
7012,"102,17,17S,25AX,2AS,3A,3AX,3BX,73,AP1,N1B",,
7009,"102,25AX,2AS,3BX,73,N1B",,
7015,"34,51,51A,59,MT3",,
7018,"25AX,3A,3AX,3BX,AP1,N1B",,
7019,"25AX,2AS,3A,3AX,3BX,73,AP1,N1B",,
7013,"2AS,73",,
7023,"10,101XS,102,10B,12,17S,1A,25AX,28A,28B,29,2AS,3,32,3A,3AX,3BX,56,60,73,AP1,N1A",,
7025,"10,102,10B,17S,1A,28B,29,3A,AP1,N1A",,
7026,"10,101XS,102,10B,17S,1A,25AX,28B,29,2AS,3A,3AX,3BX,73,AP1,N1A",,
6544,"21A,26A,N3",,
7080,"21A,25,26,26A,50,N3",,
7085,"21A,25,26,26A,50,59,N3",,
7092,"21A,25,26,26A,50,59,N3",,
7093,"21A,25,26,26A,50,N3",,
7087,59,,
7097,"21A,25,26,26A,50,59,N3",,
7133,52,,
7146,"52,55",,
7147,"21A,25,25AX,26,26A,26AT,50,51,51A,56,59,H3,N3,N5",,
7144,"52,55",,
7150,"102,15,21A,25,25AX,25B,25BS,26,26A,26AT,50,51,51A,51B,56,59,701X,H3,MT4,N3,N5,N6",,
7151,"102,15,21A,25,25B,25BS,26,26A,50,701X,H3,MT4,N3,N6",,
7154,"102,15,21A,25,25AX,25B,25BS,26,26A,26AT,50,51,51A,51B,56,59,701X,H3,MT4,N3,N5,N6",,
7152,"25B,50,51,59,H3,MT4,N5",,
7158,"102,15,21A,25,25AX,25BS,26,26A,26AT,50,51,51A,51B,56,59,701X,H3,MT4,N3,N5,N6",,
7159,"102,15,21A,25,25AX,25BS,26,26A,26AT,50,51A,51B,56,701X,H3,MT4,N3,N5,N6",,
7156,"51,59,H3",,
7162,"102,15,21A,21AT,25,25AX,25B,25BS,26,26A,26AT,50,51,51A,51B,56,59,701X,H3,MT4,N3,N5,N6",,
7163,"102,15,21A,25,26,26A,50,51,59,H3,N3,N5",,
7167,"30X,35,36,50,50B,51A,701X,AP1,MT1,N2,N5,N6",,
7169,"35,50,50B,701X",,
7172,"15,21A,25,25AX,25B,25BS,26,26A,26AT,30X,36,51A,51B,56,AP1,MT1,MT4,N2,N3,N5,N6",,
7170,"50,N6",,
7178,"15,21A,25,25AX,26,36,50,50B,51B,56,AP1,MT4,N2,N3,N5,N6",,
7182,"25B,25BS,26,26A,26AT,35,51A,MT1",,
7185,"15,21A,25,25AX,25B,25BS,26,26A,26AT,30X,36,50,51A,51B,56,AP1,MT1,MT4,N2,N3,N5,N6",,
7186,"15,21A,25,25AX,25B,25BS,26A,26AT,30X,50,56,MT4,N3,N6",,
7195,"11,39",,
